unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1627516800,2021-07-29 00:00:00,ETH/USD,2299.26,2404.08,2266.51,2383.89,16193.05534582,38602462.708346836
1627430400,2021-07-28 00:00:00,ETH/USD,2299.76,2347.15,2244.81,2299.52,33002.47291685,75889846.5217549
1627344000,2021-07-27 00:00:00,ETH/USD,2226.89,2321.80,2150.62,2304.62,33758.19651174,77799814.84488624
1627257600,2021-07-26 00:00:00,ETH/USD,2192.07,2435.01,2175.57,2228.00,58867.05596420,131155800.68823761
1627171200,2021-07-25 00:00:00,ETH/USD,2186.86,2199.49,2108.00,2194.00,19955.29096847,43781908.38482318
1627084800,2021-07-24 00:00:00,ETH/USD,2127.16,2200.11,2107.20,2185.86,31094.43912462,67968090.70494187
1626998400,2021-07-23 00:00:00,ETH/USD,2026.56,2132.81,1997.16,2126.20,41166.85655321,87528970.40343508
1626912000,2021-07-22 00:00:00,ETH/USD,1994.08,2046.83,1948.19,2023.00,32572.01894305,65893194.32179015
1626825600,2021-07-21 00:00:00,ETH/USD,1788.25,2034.00,1752.00,1995.50,43597.24024402,86998292.90694192
1626739200,2021-07-20 00:00:00,ETH/USD,1818.35,1840.74,1717.17,1786.54,22905.23484027,40921118.25153597
1626652800,2021-07-19 00:00:00,ETH/USD,1886.86,1918.87,1805.00,1817.29,21444.93668991,38971668.99720654
1626566400,2021-07-18 00:00:00,ETH/USD,1900.83,1994.00,1877.92,1890.99,31458.20797427,59487156.69726483
1626480000,2021-07-17 00:00:00,ETH/USD,1876.10,1918.98,1845.13,1898.48,8351.41316278,15854990.861274574
1626393600,2021-07-16 00:00:00,ETH/USD,1921.26,1965.84,1848.13,1876.66,13497.15215792,25329565.56868215
1626307200,2021-07-15 00:00:00,ETH/USD,1993.60,2040.40,1880.77,1915.93,22646.34478365,43388811.36133855
1626220800,2021-07-14 00:00:00,ETH/USD,1942.15,2020.06,1865.01,1993.91,24409.73600104,48670816.70983367
1626134400,2021-07-13 00:00:00,ETH/USD,2032.41,2046.71,1917.00,1940.15,22621.21878961,43888557.634661846
1626048000,2021-07-12 00:00:00,ETH/USD,2140.43,2168.82,2005.98,2034.88,26060.03596589,53029045.98627025
